sub,ses,block_type,block_type_num,block_num,is_passive,input,response,correct_response,value_left,value_right,value_single_house,single_house_prob_value
sub501,2,1,7,1,0,[1 0 0 1 0 1 0 1 0 1 0 1 1 0 0 1],right,,25,62,,
sub501,2,1,7,1,1,[1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0],none,,,,75,50
sub501,2,1,7,1,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],none,,,,75,50
sub501,2,1,7,1,1,[1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,37,50
sub501,2,1,7,1,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],less,,,,0,50
sub501,2,1,7,1,0,[0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 0],right,,100,75,,
sub501,2,1,7,1,0,[1 0 0 1 1 0 0 1 1 0 0 1 1 0 0 1],right,,37,62,,
sub501,2,1,7,1,0,[0 1 0 1 1 0 1 0 0 1 0 1 0 1 1 0],right,,0,100,,
sub501,2,1,7,1,0,[1 0 0 1 0 1 1 0 1 0 1 0 0 1 1 0],left,,62,37,,
sub501,2,1,7,1,0,[0 1 1 0 1 0 0 1 1 0 0 1 1 0 0 1],left,,75,25,,
sub501,2,1,7,1,0,[1 0 0 1 0 1 1 0 0 1 1 0 1 0 0 1],right,,62,75,,
sub501,2,1,7,1,0,[0 1 0 1 0 1 0 1 0 1 1 0 1 0 0 1],left,,100,0,,
sub501,2,1,7,1,0,[0 1 1 0 1 0 1 0 0 1 0 1 1 0 1 0],right,,0,25,,
sub501,2,1,7,1,0,[1 0 1 0 1 0 0 1 1 0 0 1 0 1 0 1],left,,37,25,,
sub501,2,1,7,1,0,[1 0 1 0 1 0 1 0 0 1 0 1 0 1 1 0],left,,75,25,,
sub501,2,1,7,1,0,[0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 1],left,,75,100,,
sub501,2,1,7,1,0,[1 0 1 0 0 1 0 1 1 0 1 0 0 1 1 0],right,,25,37,,
sub501,2,1,7,1,0,[0 1 1 0 0 1 1 0 1 0 1 0 0 1 1 0],left,,25,75,,
sub501,2,1,7,1,0,[1 0 1 0 0 1 0 1 0 1 1 0 1 0 0 1],right,,25,75,,
sub501,2,1,7,1,0,[1 0 0 1 1 0 1 0 0 1 0 1 1 0 1 0],left,,75,62,,
sub501,2,1,7,1,0,[0 1 1 0 0 1 1 0 0 1 1 0 1 0 0 1],left,,25,0,,
sub501,2,1,7,1,1,[1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,62,50
sub501,2,1,7,1,1,[0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,1,7,1,1,[1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,1,7,1,1,[0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0],none,,,,100,50
sub501,2,1,7,1,0,[1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1],left,,75,37,,
sub501,2,1,7,1,0,[0 1 0 1 1 0 0 1 1 0 1 0 1 0 1 0],left,,75,0,,
sub501,2,1,7,1,0,[1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 0],right,,37,75,,
sub501,2,1,7,1,0,[0 1 0 1 1 0 1 0 1 0 1 0 0 1 0 1],right,,0,75,,
sub501,2,1,7,1,1,[0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,1,7,1,1,[1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0],none,,,,62,50
sub501,2,1,7,1,1,[0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0],none,,,,100,50
sub501,2,1,7,1,1,[1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,2,8,2,1,[0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,2,8,2,1,[0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0],less,,,,0,50
sub501,2,2,8,2,1,[1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,2,2,8,2,1,[1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0],more,,,,62,50
sub501,2,2,8,2,0,[0 1 0 1 0 1 0 1 1 0 1 0 0 1 0 1],left,,100,75,,
sub501,2,2,8,2,0,[1 0 1 0 1 0 0 1 0 1 0 1 0 1 0 1],left,,37,25,,
sub501,2,2,8,2,0,[0 1 0 1 1 0 0 1 0 1 0 1 0 1 0 1],left,,75,100,,
sub501,2,2,8,2,0,[1 0 1 0 0 1 0 1 1 0 1 0 0 1 0 1],left,,25,37,,
sub501,2,2,8,2,1,[1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0],more,,,,62,50
sub501,2,2,8,2,1,[0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,2,8,2,1,[0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0],less,,,,0,50
sub501,2,2,8,2,1,[1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,2,2,8,2,0,[1 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0],left,,75,25,,
sub501,2,2,8,2,0,[0 1 0 1 1 0 1 0 0 1 1 0 0 1 0 1],right,,0,75,,
sub501,2,2,8,2,0,[1 0 0 1 1 0 0 1 0 1 0 1 1 0 0 1],right,,37,62,,
sub501,2,2,8,2,0,[1 0 1 0 0 1 1 0 1 0 0 1 0 1 1 0],left,,62,25,,
sub501,2,2,8,2,0,[0 1 0 1 0 1 1 0 1 0 0 1 0 1 1 0],right,,25,100,,
sub501,2,2,8,2,0,[0 1 1 0 1 0 1 0 1 0 0 1 0 1 1 0],right,,0,100,,
sub501,2,2,8,2,0,[1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 0],right,,25,62,,
sub501,2,2,8,2,0,[0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 0],left,,100,25,,
sub501,2,2,8,2,0,[1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1],left,,62,37,,
sub501,2,2,8,2,0,[1 0 1 0 1 0 0 1 1 0 1 0 1 0 0 1],right,,37,75,,
sub501,2,2,8,2,0,[1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 1],left,,75,37,,
sub501,2,2,8,2,0,[1 0 1 0 0 1 0 1 0 1 1 0 1 0 1 0],right,,25,75,,
sub501,2,2,8,2,0,[0 1 0 1 1 0 0 1 1 0 1 0 1 0 0 1],left,,75,0,,
sub501,2,2,8,2,0,[0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 0],left,,100,0,,
sub501,2,2,8,2,0,[0 1 1 0 1 0 0 1 0 1 0 1 1 0 0 1],left,,75,25,,
sub501,2,2,8,2,0,[0 1 1 0 0 1 1 0 1 0 1 0 0 1 0 1],right,,25,75,,
sub501,2,2,8,2,1,[1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0],less,,,,37,50
sub501,2,2,8,2,1,[0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0],more,,,,100,50
sub501,2,2,8,2,1,[0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,2,2,8,2,1,[1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,2,8,2,0,[1 0 1 0 1 0 1 0 1 0 0 1 1 0 1 0],left,,75,62,,
sub501,2,2,8,2,0,[0 1 1 0 0 1 1 0 0 1 1 0 1 0 1 0],left,,25,0,,
sub501,2,2,8,2,0,[0 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0],left,,0,25,,
sub501,2,2,8,2,0,[1 0 0 1 0 1 1 0 0 1 1 0 1 0 1 0],left,,62,75,,
sub501,2,2,8,2,1,[1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0],less,,,,37,50
sub501,2,2,8,2,1,[1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,2,8,2,1,[0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,2,2,8,2,1,[0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0],less,,,,100,50
sub501,2,3,9,3,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,2,3,9,3,1,[1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0],more,,,,62,50
sub501,2,3,9,3,1,[1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,37,50
sub501,2,3,9,3,1,[0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,3,9,3,0,[1 0 0 1 0 1 0 1 1 0 1 0 1 0 1 0],right,,25,75,,
sub501,2,3,9,3,0,[0 1 1 0 1 0 1 0 1 0 0 1 0 1 0 1],right,,0,100,,
sub501,2,3,9,3,0,[0 1 1 0 0 1 0 1 1 0 1 0 1 0 1 0],left,,100,0,,
sub501,2,3,9,3,0,[1 0 0 1 1 0 1 0 1 0 0 1 0 1 0 1],left,,75,25,,
sub501,2,3,9,3,1,[1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,37,50
sub501,2,3,9,3,1,[1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0],more,,,,62,50
sub501,2,3,9,3,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,2,3,9,3,1,[0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,3,9,3,0,[0 1 0 1 1 0 0 1 0 1 1 0 1 0 0 1],left,,75,0,,
sub501,2,3,9,3,0,[0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 1],right,,100,75,,
sub501,2,3,9,3,0,[0 1 0 1 0 1 1 0 1 0 1 0 1 0 1 0],right,,25,0,,
sub501,2,3,9,3,0,[1 0 1 0 0 1 1 0 1 0 1 0 1 0 1 0],right,,62,75,,
sub501,2,3,9,3,0,[1 0 1 0 1 0 1 0 1 0 0 1 1 0 0 1],left,,75,62,,
sub501,2,3,9,3,0,[1 0 1 0 1 0 0 1 0 1 1 0 1 0 0 1],right,,37,75,,
sub501,2,3,9,3,0,[0 1 0 1 1 0 0 1 0 1 0 1 0 1 1 0],left,,75,100,,
sub501,2,3,9,3,0,[1 0 1 0 0 1 0 1 1 0 0 1 1 0 1 0],right,,25,62,,
sub501,2,3,9,3,0,[0 1 0 1 1 0 1 0 0 1 1 0 0 1 1 0],right,,0,75,,
sub501,2,3,9,3,0,[0 1 0 1 0 1 1 0 1 0 0 1 0 1 0 1],right,,25,100,,
sub501,2,3,9,3,0,[1 0 1 0 0 1 1 0 1 0 0 1 0 1 0 1],none,,62,25,,
sub501,2,3,9,3,0,[0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0],left,,100,25,,
sub501,2,3,9,3,0,[1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 0],left,,75,37,,
sub501,2,3,9,3,0,[0 1 0 1 1 0 1 0 1 0 0 1 1 0 0 1],right,,0,25,,
sub501,2,3,9,3,0,[1 0 1 0 0 1 0 1 0 1 1 0 0 1 0 1],right,,25,37,,
sub501,2,3,9,3,0,[1 0 1 0 1 0 0 1 0 1 0 1 0 1 1 0],left,,37,25,,
sub501,2,3,9,3,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],less,,,,0,50
sub501,2,3,9,3,1,[0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0],more,,,,100,50
sub501,2,3,9,3,1,[1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,3,9,3,1,[1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,2,3,9,3,0,[0 1 1 0 0 1 1 0 0 1 1 0 0 1 0 1],right,,25,75,,
sub501,2,3,9,3,0,[1 0 0 1 0 1 1 0 0 1 1 0 0 1 0 1],left,,62,37,,
sub501,2,3,9,3,0,[1 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0],right,,37,62,,
sub501,2,3,9,3,0,[0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 0],left,,75,25,,
sub501,2,3,9,3,1,[1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,3,9,3,1,[0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0],more,,,,100,50
sub501,2,3,9,3,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],none,,,,0,50
sub501,2,3,9,3,1,[1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,2,4,10,4,1,[0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,4,10,4,1,[1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,4,10,4,1,[1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0],more,,,,62,50
sub501,2,4,10,4,1,[0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0],more,,,,100,50
sub501,2,4,10,4,0,[0 1 0 1 1 0 0 1 0 1 1 0 1 0 1 0],left,,75,0,,
sub501,2,4,10,4,0,[1 0 0 1 1 0 1 0 1 0 1 0 0 1 1 0],left,,75,37,,
sub501,2,4,10,4,0,[1 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0],right,,37,75,,
sub501,2,4,10,4,0,[0 1 1 0 1 0 1 0 1 0 1 0 0 1 1 0],right,,0,75,,
sub501,2,4,10,4,1,[1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,4,10,4,1,[0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,4,10,4,1,[1 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0],none,,,,62,50
sub501,2,4,10,4,1,[0 1 0 1 0 1 0 1 0 1 0 0 0 0 0 0],more,,,,100,50
sub501,2,4,10,4,0,[1 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1],left,,75,62,,
sub501,2,4,10,4,0,[0 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1],left,,25,0,,
sub501,2,4,10,4,0,[1 0 0 1 0 1 0 1 1 0 1 0 1 0 0 1],right,,25,75,,
sub501,2,4,10,4,0,[1 0 1 0 1 0 0 1 1 0 0 1 1 0 1 0],right,,37,62,,
sub501,2,4,10,4,0,[0 1 0 1 1 0 0 1 1 0 0 1 1 0 1 0],left,,75,25,,
sub501,2,4,10,4,0,[1 0 0 1 1 0 0 1 1 0 0 1 0 1 1 0],left,,37,25,,
sub501,2,4,10,4,0,[0 1 1 0 0 1 0 1 1 0 1 0 1 0 0 1],left,,100,0,,
sub501,2,4,10,4,0,[1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0],left,,62,37,,
sub501,2,4,10,4,0,[1 0 1 0 0 1 1 0 1 0 1 0 1 0 0 1],right,,62,75,,
sub501,2,4,10,4,0,[0 1 1 0 1 0 1 0 0 1 0 1 0 1 0 1],right,,0,100,,
sub501,2,4,10,4,0,[1 0 1 0 0 1 0 1 0 1 1 0 0 1 1 0],right,,25,37,,
sub501,2,4,10,4,0,[0 1 1 0 1 0 0 1 1 0 0 1 0 1 1 0],left,,75,100,,
sub501,2,4,10,4,0,[0 1 0 1 1 0 1 0 0 1 0 1 1 0 0 1],right,,0,25,,
sub501,2,4,10,4,0,[1 0 0 1 1 0 1 0 0 1 0 1 0 1 0 1],left,,75,25,,
sub501,2,4,10,4,0,[0 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0],right,,100,75,,
sub501,2,4,10,4,0,[0 1 1 0 0 1 1 0 0 1 1 0 0 1 1 0],right,,25,75,,
sub501,2,4,10,4,1,[0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,2,4,10,4,1,[0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0],less,,,,0,50
sub501,2,4,10,4,1,[1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,2,4,10,4,1,[1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0],less,,,,37,50
sub501,2,4,10,4,0,[0 1 0 1 0 1 1 0 0 1 0 1 0 1 0 1],right,,25,100,,
sub501,2,4,10,4,0,[1 0 1 0 0 1 0 1 1 0 0 1 1 0 0 1],right,,25,62,,
sub501,2,4,10,4,0,[1 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1],left,,62,25,,
sub501,2,4,10,4,0,[0 1 0 1 0 1 0 1 1 0 0 1 1 0 0 1],left,,100,25,,
sub501,2,4,10,4,1,[0 1 1 0 1 0 1 0 0 1 0 0 0 0 0 0],less,,,,0,50
sub501,2,4,10,4,1,[1 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,2,4,10,4,1,[1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0],less,,,,37,50
sub501,2,4,10,4,1,[0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,2,5,11,5,1,[1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,5,11,5,1,[0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0],more,,,,100,50
sub501,2,5,11,5,1,[1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0],less,,,,37,50
sub501,2,5,11,5,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,2,5,11,5,0,[0 1 0 1 1 0 1 0 0 1 0 1 1 0 1 0],right,,0,25,,
sub501,2,5,11,5,0,[1 0 1 0 1 0 1 0 0 1 0 1 1 0 1 0],left,,75,62,,
sub501,2,5,11,5,0,[0 1 0 1 0 1 1 0 0 1 1 0 1 0 0 1],right,,25,0,,
sub501,2,5,11,5,0,[1 0 1 0 0 1 1 0 0 1 1 0 1 0 0 1],right,,62,75,,
sub501,2,5,11,5,1,[1 0 1 0 0 1 0 1 1 0 0 0 0 0 0 0],less,,,,25,50
sub501,2,5,11,5,1,[0 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0],more,,,,100,50
sub501,2,5,11,5,1,[1 0 0 1 1 0 0 1 0 1 0 0 0 0 0 0],none,,,,37,50
sub501,2,5,11,5,1,[0 1 0 1 1 0 0 1 0 1 0 0 0 0 0 0],more,,,,75,50
sub501,2,5,11,5,0,[0 1 0 1 0 1 1 0 1 0 1 0 0 1 1 0],right,,25,75,,
sub501,2,5,11,5,0,[1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1],right,,25,75,,
sub501,2,5,11,5,0,[0 1 1 0 1 0 1 0 0 1 0 1 0 1 1 0],right,,0,100,,
sub501,2,5,11,5,0,[1 0 1 0 0 1 0 1 0 1 0 1 1 0 0 1],right,,25,62,,
sub501,2,5,11,5,0,[1 0 0 1 1 0 1 0 0 1 0 1 0 1 1 0],left,,75,25,,
sub501,2,5,11,5,0,[1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 1],right,,37,62,,
sub501,2,5,11,5,0,[0 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1],right,,0,75,,
sub501,2,5,11,5,0,[1 0 0 1 1 0 1 0 1 0 1 0 0 1 0 1],left,,75,37,,
sub501,2,5,11,5,0,[1 0 0 1 1 0 0 1 1 0 1 0 1 0 1 0],right,,37,75,,
sub501,2,5,11,5,0,[0 1 0 1 0 1 1 0 0 1 0 1 0 1 1 0],right,,25,100,,
sub501,2,5,11,5,0,[0 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1],left,,100,25,,
sub501,2,5,11,5,0,[0 1 0 1 1 0 0 1 1 0 0 1 1 0 0 1],left,,75,25,,
sub501,2,5,11,5,0,[0 1 1 0 1 0 0 1 1 0 1 0 1 0 1 0],left,,75,0,,
sub501,2,5,11,5,0,[1 0 1 0 0 1 1 0 0 1 0 1 0 1 1 0],left,,62,25,,
sub501,2,5,11,5,0,[0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 1],left,,100,0,,
sub501,2,5,11,5,0,[1 0 1 0 0 1 1 0 1 0 1 0 0 1 1 0],left,,62,37,,
sub501,2,5,11,5,1,[1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0],more,,,,62,50
sub501,2,5,11,5,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],less,,,,0,50
sub501,2,5,11,5,1,[1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,2,5,11,5,1,[0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,5,11,5,0,[0 1 1 0 1 0 0 1 1 0 0 1 0 1 0 1],left,,75,100,,
sub501,2,5,11,5,0,[1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0],right,,25,37,,
sub501,2,5,11,5,0,[0 1 1 0 0 1 0 1 1 0 1 0 0 1 1 0],left,,100,75,,
sub501,2,5,11,5,0,[1 0 0 1 1 0 0 1 1 0 0 1 0 1 0 1],left,,37,25,,
sub501,2,5,11,5,1,[1 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,62,50
sub501,2,5,11,5,1,[1 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0],more,,,,75,50
sub501,2,5,11,5,1,[0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0],less,,,,25,50
sub501,2,5,11,5,1,[0 1 0 1 1 0 1 0 1 0 0 0 0 0 0 0],less,,,,0,50
sub501,3,0,12,0,0,[1 0 1 0 0 1 1 0 1 0 1 0 0 1 0 1],left,,62,37,,
sub501,3,0,12,0,0,[0 1 0 1 0 1 1 0 1 0 1 0 0 1 0 1],right,,25,75,,
sub501,3,0,12,0,0,[0 1 0 1 1 0 0 1 0 1 0 1 1 0 0 1],left,,75,25,,
sub501,3,0,12,0,0,[1 0 1 0 1 0 0 1 0 1 0 1 1 0 0 1],right,,37,62,,
sub501,3,0,12,0,0,[0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0],left,,100,25,,
sub501,3,0,12,0,0,[1 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1],left,,37,25,,
sub501,3,0,12,0,0,[0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1],right,,75,100,,
sub501,3,0,12,0,0,[1 0 1 0 0 1 1 0 0 1 1 0 1 0 1 0],right,,62,75,,
sub501,3,0,12,0,0,[0 1 1 0 1 0 1 0 1 0 0 1 1 0 1 0],right,,0,25,,
sub501,3,0,12,0,0,[0 1 1 0 1 0 1 0 0 1 1 0 0 1 0 1],right,,0,75,,
sub501,3,0,12,0,0,[0 1 1 0 0 1 0 1 1 0 1 0 0 1 0 1],left,,100,75,,
sub501,3,0,12,0,0,[1 0 0 1 0 1 1 0 1 0 0 1 0 1 1 0],left,,62,25,,
sub501,3,0,12,0,0,[1 0 0 1 1 0 1 0 0 1 1 0 0 1 0 1],left,,75,37,,
sub501,3,0,12,0,0,[0 1 1 0 0 1 1 0 1 0 0 1 0 1 1 0],right,,25,100,,
sub501,3,0,12,0,0,[0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 0],left,,25,0,,
sub501,3,0,12,0,0,[1 0 1 0 0 1 0 1 0 1 0 1 1 0 1 0],right,,25,62,,
sub501,3,0,12,0,0,[1 0 0 1 1 0 0 1 1 0 1 0 1 0 0 1],right,,37,75,,
sub501,3,0,12,0,0,[1 0 0 1 0 1 0 1 1 0 1 0 0 1 0 1],right,,25,37,,
sub501,3,0,12,0,0,[0 1 1 0 1 0 0 1 1 0 1 0 1 0 0 1],left,,75,0,,
sub501,3,0,12,0,0,[1 0 0 1 1 0 1 0 1 0 0 1 1 0 1 0],left,,75,62,,
sub501,3,0,12,0,0,[0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 0],right,,0,100,,
sub501,3,0,12,0,0,[0 1 1 0 0 1 0 1 0 1 1 0 1 0 1 0],left,,100,0,,
sub501,3,0,12,0,0,[1 0 0 1 0 1 0 1 0 1 1 0 1 0 1 0],right,,25,75,,
sub501,3,0,12,0,0,[1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0],left,,75,25,,
sub501,3,2,13,2,0,[1 0 0 1 0 1 0 1 1 0 0 1 1 0 1 0],right,,25,62,,
sub501,3,2,13,2,0,[0 1 1 0 0 1 0 1 1 0 0 1 1 0 1 0],left,,100,25,,
sub501,3,2,13,2,0,[0 1 1 0 0 1 1 0 1 0 0 1 0 1 0 1],right,,25,100,,
sub501,3,2,13,2,0,[1 0 0 1 0 1 1 0 1 0 0 1 0 1 0 1],left,,62,25,,
sub501,3,2,13,2,0,[1 0 1 0 0 1 1 0 0 1 1 0 0 1 0 1],left,,62,37,,
sub501,3,2,13,2,0,[0 1 1 0 1 0 0 1 0 1 0 1 0 1 1 0],right,,75,100,,
sub501,3,2,13,2,0,[1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0],right,,25,75,,
sub501,3,2,13,2,0,[1 0 0 1 0 1 0 1 0 1 1 0 0 1 0 1],right,,25,37,,
sub501,3,2,13,2,0,[0 1 1 0 0 1 0 1 0 1 1 0 0 1 0 1],left,,100,75,,
sub501,3,2,13,2,0,[0 1 0 1 1 0 1 0 1 0 0 1 0 1 0 1],right,,0,100,,
sub501,3,2,13,2,0,[0 1 1 0 0 1 1 0 1 0 1 0 1 0 1 0],left,,25,0,,
sub501,3,2,13,2,0,[0 1 0 1 0 1 0 1 1 0 1 0 1 0 1 0],left,,100,0,,
sub501,3,2,13,2,0,[1 0 1 0 1 0 0 1 0 1 0 1 1 0 1 0],right,,37,62,,
sub501,3,2,13,2,0,[0 1 0 1 1 0 0 1 0 1 0 1 1 0 1 0],left,,75,25,,
sub501,3,2,13,2,0,[1 0 0 1 1 0 1 0 1 0 0 1 1 0 0 1],left,,75,62,,
sub501,3,2,13,2,0,[1 0 1 0 1 0 1 0 1 0 0 1 0 1 0 1],left,,75,25,,
sub501,3,2,13,2,0,[1 0 0 1 0 1 1 0 1 0 1 0 1 0 1 0],right,,62,75,,
sub501,3,2,13,2,0,[1 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0],left,,37,25,,
sub501,3,2,13,2,0,[0 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1],right,,0,25,,
sub501,3,2,13,2,0,[0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1],right,,25,75,,
sub501,3,2,13,2,0,[0 1 1 0 1 0 0 1 0 1 1 0 1 0 0 1],left,,75,0,,
sub501,3,2,13,2,0,[1 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0],left,,75,37,,
sub501,3,2,13,2,0,[1 0 0 1 1 0 0 1 0 1 1 0 1 0 0 1],right,,37,75,,
sub501,3,2,13,2,0,[0 1 1 0 1 0 1 0 0 1 1 0 0 1 1 0],right,,0,75,,
sub501,3,3,14,3,0,[0 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0],left,,75,100,,
sub501,3,3,14,3,0,[0 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0],right,,100,75,,
sub501,3,3,14,3,0,[1 0 0 1 0 1 0 1 0 1 1 0 0 1 1 0],left,,37,25,,
sub501,3,3,14,3,0,[1 0 1 0 1 0 0 1 1 0 0 1 0 1 1 0],right,,25,37,,
sub501,3,3,14,3,0,[0 1 1 0 0 1 0 1 1 0 0 1 1 0 0 1],left,,75,0,,
sub501,3,3,14,3,0,[1 0 0 1 1 0 0 1 1 0 0 1 1 0 1 0],right,,25,75,,
sub501,3,3,14,3,0,[0 1 0 1 0 1 1 0 0 1 1 0 0 1 1 0],right,,0,100,,
